id,survey_number
1,1
2,1/1
3,1/2A
4,1/3
5,1/4A
6,2
7,2/1
8,2/2C
9,2/3
10,2/4B
11,3
12,3/1
13,3/2B
14,3/3
15,3/4B
16,4
17,4/1
18,4/2A
19,4/3
20,4/4A
21,5
22,5/1
23,5/2D
24,5/3
25,5/4A
26,6
27,6/1
28,6/2A
29,6/3
30,6/4A
31,7
32,7/1
33,7/2B
34,7/3
35,7/4B
36,8
37,8/1
38,8/2A
39,8/3
40,8/4B
41,9
42,9/1
43,9/2D
44,9/3
45,9/4B
46,10
47,10/1
48,10/2D
49,10/3
50,10/4C
51,11
52,11/1
53,11/2A
54,11/3
55,11/4B
56,12
57,12/1
58,12/2D
59,12/3
60,12/4C
61,13
62,13/1
63,13/2C
64,13/3
65,13/4B
66,14
67,14/1
68,14/2B
69,14/3
70,14/4C
71,15
72,15/1
73,15/2A
74,15/3
75,15/4A
76,16
77,16/1
78,16/2D
79,16/3
80,16/4A
81,17
82,17/1
83,17/2C
84,17/3
85,17/4C
86,18
87,18/1
88,18/2C
89,18/3
90,18/4A
91,19
92,19/1
93,19/2D
94,19/3
95,19/4A
96,20
97,20/1
98,20/2D
99,20/3
100,20/4A
101,21
102,21/1
103,21/2C
104,21/3
105,21/4C
106,22
107,22/1
108,22/2B
109,22/3
110,22/4A
111,23
112,23/1
113,23/2A
114,23/3
115,23/4B
116,24
117,24/1
118,24/2C
119,24/3
120,24/4A
121,25
122,25/1
123,25/2B
124,25/3
125,25/4A
126,26
127,26/1
128,26/2D
129,26/3
130,26/4C
131,27
132,27/1
133,27/2D
134,27/3
135,27/4C
136,28
137,28/1
138,28/2B
139,28/3
140,28/4C
141,29
142,29/1
143,29/2C
144,29/3
145,29/4B
146,30
147,30/1
148,30/2C
149,30/3
150,30/4A
151,31
152,31/1
153,31/2B
154,31/3
155,31/4B
156,32
157,32/1
158,32/2B
159,32/3
160,32/4D
161,33
162,33/1
163,33/2D
164,33/3
165,33/4C
166,34
167,34/1
168,34/2B
169,34/3
170,34/4C
171,35
172,35/1
173,35/2A
174,35/3
175,35/4B
176,36
177,36/1
178,36/2A
179,36/3
180,36/4C
181,37
182,37/1
183,37/2D
184,37/3
185,37/4C
186,38
187,38/1
188,38/2A
189,38/3
190,38/4B
191,39
192,39/1
193,39/2C
194,39/3
195,39/4B
196,40
197,40/1
198,40/2D
199,40/3
200,40/4D
201,41
202,41/1
203,41/2D
204,41/3
205,41/4B
206,42
207,42/1
208,42/2C
209,42/3
210,42/4B
211,43
212,43/1
213,43/2B
214,43/3
215,43/4C
216,44
217,44/1
218,44/2D
219,44/3
220,44/4D
221,45
222,45/1
223,45/2C
224,45/3
225,45/4B
226,46
227,46/1
228,46/2B
229,46/3
230,46/4D
231,47
232,47/1
233,47/2A
234,47/3
235,47/4A
236,48
237,48/1
238,48/2A
239,48/3
240,48/4B
241,49
242,49/1
243,49/2B
244,49/3
245,49/4D
246,50
247,50/1
248,50/2A
249,50/3
250,50/4D
251,51
252,51/1
253,51/2D
254,51/3
255,51/4D
256,52
257,52/1
258,52/2C
259,52/3
260,52/4A
261,53
262,53/1
263,53/2A
264,53/3
265,53/4C
266,54
267,54/1
268,54/2C
269,54/3
270,54/4A
271,55
272,55/1
273,55/2C
274,55/3
275,55/4D
276,56
277,56/1
278,56/2B
279,56/3
280,56/4D
281,57
282,57/1
283,57/2A
284,57/3
285,57/4C
286,58
287,58/1
288,58/2B
289,58/3
290,58/4A
291,59
292,59/1
293,59/2C
294,59/3
295,59/4B
296,60
297,60/1
298,60/2B
299,60/3
300,60/4C
301,61
302,61/1
303,61/2B
304,61/3
305,61/4A
306,62
307,62/1
308,62/2C
309,62/3
310,62/4D
311,63
312,63/1
313,63/2A
314,63/3
315,63/4A
316,64
317,64/1
318,64/2C
319,64/3
320,64/4C
321,65
322,65/1
323,65/2B
324,65/3
325,65/4A
326,66
327,66/1
328,66/2B
329,66/3
330,66/4A
331,67
332,67/1
333,67/2A
334,67/3
335,67/4D
336,68
337,68/1
338,68/2A
339,68/3
340,68/4B
341,69
342,69/1
343,69/2B
344,69/3
345,69/4D
346,70
347,70/1
348,70/2B
349,70/3
350,70/4C
351,71
352,71/1
353,71/2D
354,71/3
355,71/4B
356,72
357,72/1
358,72/2B
359,72/3
360,72/4C
361,73
362,73/1
363,73/2D
364,73/3
365,73/4C
366,74
367,74/1
368,74/2D
369,74/3
370,74/4D
371,75
372,75/1
373,75/2A
374,75/3
375,75/4B
376,76
377,76/1
378,76/2B
379,76/3
380,76/4A
381,77
382,77/1
